ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0002274,myeloid leukocyte activation,17/360,241/18888,0.070539419,3.700968188,5.882229631,4.06E-06,0.015012173,0.013865481,5819/1050/2268/566/161145/56670/401258/2623/7305/4055/11326/7099/2207/6571/3815/3965/9173,17
GO:0050804,modulation of chemical synaptic transmission,24/360,493/18888,0.048681542,2.554158215,4.87401949,2.83E-05,0.035992749,0.033243474,321/575/23237/9229/5413/79012/7305/150/22941/5028/2983/5577/815/2901/5582/627/85358/7204/9463/1139/1759/3815/79772/10769,24
GO:0099177,regulation of trans-synaptic signaling,24/360,494/18888,0.048582996,2.548987854,4.862861106,2.92E-05,0.035992749,0.033243474,321/575/23237/9229/5413/79012/7305/150/22941/5028/2983/5577/815/2901/5582/627/85358/7204/9463/1139/1759/3815/79772/10769,24
GO:0002444,myeloid leukocyte mediated immunity,10/360,112/18888,0.089285714,4.68452381,5.451390712,5.64E-05,0.047962301,0.044298741,2268/566/401258/2623/7305/5319/2209/6571/3815/3965,10
GO:0048730,epidermis morphogenesis,6/360,37/18888,0.162162162,8.508108108,6.372101019,6.49E-05,0.047962301,0.044298741,9314/6469/2252/1747/6615/3872,6
GO:0002275,myeloid cell activation involved in immune response,9/360,97/18888,0.092783505,4.868041237,5.323784725,9.82E-05,0.059895917,0.055320819,2268/56670/401258/2623/7305/2207/6571/3815/3965,9
GO:0045730,respiratory burst,6/360,41/18888,0.146341463,7.67804878,5.966764122,0.000117697,0.059895917,0.055320819,3512/4353/1536/10811/64581/6280,6
GO:0006959,humoral immune response,15/360,258/18888,0.058139535,3.050387597,4.622297149,0.000136831,0.059895917,0.055320819,374383/566/3512/11326/4069/2920/9308/5319/5199/1675/1378/2921/6280/8347/124976,15
GO:0001578,microtubule bundle formation,10/360,126/18888,0.079365079,4.164021164,4.967107464,0.000151819,0.059895917,0.055320819,246176/145788/55329/89765/51673/161582/23639/254050/57701/136332,10
GO:0003014,renal system process,10/360,127/18888,0.078740157,4.131233596,4.935234648,0.000162056,0.059895917,0.055320819,81693/5800/56670/3512/8529/4883/1187/23213/133/8644,10
GO:1903706,regulation of hemopoiesis,20/360,424/18888,0.047169811,2.474842767,4.281384425,0.000199329,0.066226238,0.061167603,1440/4286/1050/8367/8328/9935/3304/8848/8363/441478/2623/7305/1441/182/9308/7099/6469/1378/338382/3965,20
GO:0042742,defense response to bacterium,17/360,330/18888,0.051515152,2.702828283,4.349914384,0.000215034,0.066226238,0.061167603,5054/575/374383/2268/6035/566/3512/4069/4353/7099/2207/5319/5199/2209/6280/51316/8347,17
GO:0030219,megakaryocyte differentiation,7/360,66/18888,0.106060606,5.564646465,5.178031636,0.000255548,0.066226238,0.061167603,8367/8363/2623/80739/338382/3815/25946,7
GO:0007611,learning or memory,15/360,278/18888,0.053956835,2.830935252,4.286873491,0.000307014,0.066226238,0.061167603,23237/56924/9379/22941/338811/161582/5577/5582/7846/627/85358/1139/3815/25946/10769,15
GO:0045576,mast cell activation,7/360,68/18888,0.102941176,5.400980392,5.067719283,0.000307933,0.066226238,0.061167603,5819/2268/401258/2623/6571/3815/3965,7
GO:0030099,myeloid cell differentiation,20/360,439/18888,0.045558087,2.390280942,4.108344783,0.000313321,0.066226238,0.061167603,1440/4286/1050/8367/9935/3304/8363/2623/7305/4055/80739/8840/1441/182/7099/338382/3815/25946/9173/25893,20
GO:0006957,"complement activation, alternative pathway",4/360,18/18888,0.222222222,11.65925926,6.30660742,0.00032139,0.066226238,0.061167603,11326/5199/1675/1378,4
GO:0060292,long-term synaptic depression,5/360,32/18888,0.15625,8.197916667,5.680355131,0.00032253,0.066226238,0.061167603,23237/22941/85358/9463/10769,5
GO:0031069,hair follicle morphogenesis,5/360,33/18888,0.151515152,7.949494949,5.569489823,0.000374239,0.072799325,0.067238611,6469/2252/1747/6615/3872,5
GO:0060263,regulation of respiratory burst,4/360,19/18888,0.210526316,11.04561404,6.106569662,0.000401007,0.074106047,0.068445521,3512/10811/64581/6280,4
GO:0043303,mast cell degranulation,6/360,52/18888,0.115384615,6.053846154,5.086836955,0.000446933,0.078660177,0.072651787,2268/401258/2623/6571/3815/3965,6
GO:0002279,mast cell activation involved in immune response,6/360,55/18888,0.109090909,5.723636364,4.89008624,0.000606671,0.08790507,0.081190517,2268/401258/2623/6571/3815/3965,6
GO:0002448,mast cell mediated immunity,6/360,55/18888,0.109090909,5.723636364,4.89008624,0.000606671,0.08790507,0.081190517,2268/401258/2623/6571/3815/3965,6
GO:0050900,leukocyte migration,18/360,396/18888,0.045454545,2.384848485,3.882186368,0.000635445,0.08790507,0.081190517,5054/3655/1843/5800/566/4856/2920/1441/2207/5319/9048/8174/2921/6280/3815/3965/148823/124976,18
GO:0001819,positive regulation of cytokine production,21/360,500/18888,0.042,2.2036,3.802055072,0.000650001,0.08790507,0.081190517,5054/2268/3304/8848/566/7305/3082/150/91947/9308/7099/2207/5319/22925/1536/64581/23213/338382/3815/3965/9173,21
GO:0030595,leukocyte chemotaxis,13/360,237/18888,0.054852321,2.877918425,4.05525627,0.00065423,0.08790507,0.081190517,5054/1843/5800/566/4856/2920/1441/2207/5319/2921/6280/3815/3965,13
