drug	gene		
BDNF	TERT		
BDNF	BGLAP		
BDNF	EBVS1		
BDNF	PIK3CG		
BDNF	STAR		
BDNF	NTF4		
EGF	DXO		
RECOMBINANT HEPATOCYTE GROWTH FACTOR	SLPI		
RECOMBINANT HEPATOCYTE GROWTH FACTOR	CDK2		
RECOMBINANT HEPATOCYTE GROWTH FACTOR	PIK3CA		
RECOMBINANT HEPATOCYTE GROWTH FACTOR	IGF2		
RECOMBINANT HEPATOCYTE GROWTH FACTOR	CYP2B6		
RECOMBINANT HEPATOCYTE GROWTH FACTOR	RAB5A		
RECOMBINANT HEPATOCYTE GROWTH FACTOR	CDH17		
RECOMBINANT HEPATOCYTE GROWTH FACTOR	SLC2A4		
RECOMBINANT HEPATOCYTE GROWTH FACTOR	MYOD1		
RECOMBINANT HEPATOCYTE GROWTH FACTOR	E2F1		
