"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002274","myeloid leukocyte activation","17/360","241/18888",0.0705394190871369,3.70096818810512,5.88222963075149,4.06173519049877e-06,0.0150121732640834,0.0138654812871447,"5819/1050/2268/566/161145/56670/401258/2623/7305/4055/11326/7099/2207/6571/3815/3965/9173",17
"GO:0050804","modulation of chemical synaptic transmission","24/360","493/18888",0.0486815415821501,2.55415821501014,4.87401948950484,2.82814873606826e-05,0.0359927489511201,0.0332434736980185,"321/575/23237/9229/5413/79012/7305/150/22941/5028/2983/5577/815/2901/5582/627/85358/7204/9463/1139/1759/3815/79772/10769",24
"GO:0099177","regulation of trans-synaptic signaling","24/360","494/18888",0.048582995951417,2.54898785425101,4.86286110597838,2.9214893629156e-05,0.0359927489511201,0.0332434736980185,"321/575/23237/9229/5413/79012/7305/150/22941/5028/2983/5577/815/2901/5582/627/85358/7204/9463/1139/1759/3815/79772/10769",24
"GO:0002444","myeloid leukocyte mediated immunity","10/360","112/18888",0.0892857142857143,4.68452380952381,5.45139071152665,5.6408293834023e-05,0.047962300679498,0.0442987414854215,"2268/566/401258/2623/7305/5319/2209/6571/3815/3965",10
"GO:0048730","epidermis morphogenesis","6/360","37/18888",0.162162162162162,8.50810810810811,6.37210101868793,6.48840647720482e-05,0.047962300679498,0.0442987414854215,"9314/6469/2252/1747/6615/3872",6
"GO:0002275","myeloid cell activation involved in immune response","9/360","97/18888",0.0927835051546392,4.8680412371134,5.32378472489633,9.82166552916582e-05,0.0598959172671166,0.055320819006966,"2268/56670/401258/2623/7305/2207/6571/3815/3965",9
"GO:0045730","respiratory burst","6/360","41/18888",0.146341463414634,7.6780487804878,5.96676412223401,0.00011769668162406,0.0598959172671166,0.055320819006966,"3512/4353/1536/10811/64581/6280",6
"GO:0006959","humoral immune response","15/360","258/18888",0.0581395348837209,3.05038759689922,4.62229714930741,0.000136830521912116,0.0598959172671166,0.055320819006966,"374383/566/3512/11326/4069/2920/9308/5319/5199/1675/1378/2921/6280/8347/124976",15
"GO:0001578","microtubule bundle formation","10/360","126/18888",0.0793650793650794,4.16402116402116,4.96710746362412,0.000151819414992792,0.0598959172671166,0.055320819006966,"246176/145788/55329/89765/51673/161582/23639/254050/57701/136332",10
"GO:0003014","renal system process","10/360","127/18888",0.078740157480315,4.13123359580052,4.93523464844364,0.000162056053211895,0.0598959172671166,0.055320819006966,"81693/5800/56670/3512/8529/4883/1187/23213/133/8644",10
"GO:1903706","regulation of hemopoiesis","20/360","424/18888",0.0471698113207547,2.4748427672956,4.28138442473964,0.000199329355752989,0.0662262378352653,0.0611676034688327,"1440/4286/1050/8367/8328/9935/3304/8848/8363/441478/2623/7305/1441/182/9308/7099/6469/1378/338382/3965",20
