"gene","drug","regulatory.approval","indication","interaction.score"
"ifngr2","INTERFERON GAMMA-1B","Approved","antiosteoporotic agent",105.015342471389
"il5ra","BENRALIZUMAB","Approved","antiasthmatic agent",52.5076712356945
"tslp","TEZEPELUMAB","Approved","",52.5076712356945
"tnfsf11","DENOSUMAB","Approved","antiosteoporotic agent",43.7563926964121
"csf2rb","SARGRAMOSTIM","Approved","for treatment of Chron's disease,for treatment of leukopenia",13.1269178089236
"ccr4","MOGAMULIZUMAB","Approved","",12.3547461731046
"il6r","SARILUMAB","Approved","",12.1171549005449
"csf2ra","SARGRAMOSTIM","Approved","for treatment of Chron's disease,for treatment of leukopenia",11.6683713857099
"ghr","PEGVISOMANT","Approved","for treatment of acromegaly",10.5015342471389
"gng4","MOXETUMOMAB PASUDOTOX","Approved","",8.75127853928242
"csf3","EFBEMALENOGRASTIM ALFA","Approved","",8.75127853928242
"itgb7","VEDOLIZUMAB","Approved","for treatment of ulcerative colitis,for treatment of Chron's disease",8.75127853928242
"il4r","DUPILUMAB","Approved","",8.75127853928242
"vwf","CAPLACIZUMAB-YHDP","Approved","antithrombotic",8.29068493195176
"il17f","BIMEKIZUMAB","Approved","",7.5010958908135
"gng4","INOTUZUMAB OZOGAMICIN","Approved","antineoplastic agent",6.56345890446181
"il13","TRALOKINUMAB","Approved","antiasthmatic agent",6.56345890446181
"comp","TADALAFIL","Approved","for treatment of erectile dysfunction",6.56345890446181
"il1r2","ANAKINRA","Approved","DMARD,antiinflammatory agent",5.83418569285494
"itga4","NATALIZUMAB","Approved","for treatment of Crohn's disease,antiinflammatory agent",5.83418569285494
"itga4","VEDOLIZUMAB","Approved","for treatment of ulcerative colitis,for treatment of Chron's disease",5.83418569285494
"il6r","SATRALIZUMAB","Approved","",5.38540217801995
"ghr","SOMAPACITAN","Approved","",5.25076712356945
"ghr","SOMATROGON","Approved","",5.25076712356945
"ghr","LONAPEGSOMATROPIN","Approved","",5.25076712356945
"ghr","SOMATREM","Approved","",5.25076712356945
"ltb","ABACAVIR","Approved","",4.77342465779041
"mpl","AVATROMBOPAG MALEATE","Approved","",4.77342465779041
"il12rb1","DENILEUKIN DIFTITOX","Approved","antineoplastic agent",4.37563926964121
"bmp2","BUTAMBEN","Approved","",4.37563926964121
"il12rb2","DENILEUKIN DIFTITOX","Approved","antineoplastic agent",4.37563926964121
"ifnb1","PEGINTERFERON BETA-1A","Approved","",4.37563926964121
"csf3","EFLAPEGRASTIM","Approved","",4.37563926964121
"cxcl12","ALEMTUZUMAB","Approved","antineoplastic agent",4.37563926964121
"ngfr","CENEGERMIN-BKBJ","Approved","",4.37563926964121
"igf1","TROFINETIDE","Approved","neuroprotectant",4.37563926964121
"csf3r","PEGFILGRASTIM-JMDB","Approved","Antineutropenic Agents,for treatment of neutropenia",4.03905163351496
"csf3r","TBO-FILGRASTIM","Approved","for treatment of neutropenia",4.03905163351496
"il6r","TOCILIZUMAB","Approved","DMARD,antiinflammatory agent",4.03905163351496
"ccr5","MARAVIROC","Approved","HIV,antiviral agent",3.93807534267709
"il17f","ALUM, POTASSIUM","Approved","",3.75054794540675
"csh2","BENSERAZIDE","Approved","",3.75054794540675
"itga2b","ABCIXIMAB","Approved","anticoagulant",3.64636605803434
"itga2b","EPTIFIBATIDE","Approved","antiplatelet agent",3.50051141571297
