"gene","drug","regulatory.approval","indication","interaction.score"
"BMP10","DALANTERCEPT","Not Approved","antiangiogenic agent,antineoplastic agent",26.2538356178472
"GNG4","INOTUZUMAB OZOGAMICIN","Approved","antineoplastic agent",6.56345890446181
"GNG4","MOXETUMOMAB PASUDOTOX","Approved","",8.75127853928242
"IL12RB1","DENILEUKIN DIFTITOX","Approved","antineoplastic agent",4.37563926964121
"IL12RB1","AS1409","Not Approved","antineoplastic agent",8.75127853928242
"CSF3R","IBRUTINIB","Approved","antineoplastic agent",0.122395504045908
"CSF3R","PEGFILGRASTIM-JMDB","Approved","Antineutropenic Agents,for treatment of neutropenia",4.03905163351496
"CSF3R","TBO-FILGRASTIM","Approved","for treatment of neutropenia",4.03905163351496
"CSF3R","RUXOLITINIB","Approved","antiinflammatory agent,antineoplastic agent",1.30675199907837
"CSF3R","MAXY-G34","Not Approved","for treatment of chemotherapy-induced neutropenia",4.03905163351496
"CSF3R","COMPOUND 1 [PMID: 16821802]","Not Approved","",2.01952581675748
"CSF3R","BALUGRASTIM","Not Approved","",2.01952581675748
"CSF3R","MOMELOTINIB","Approved","",0.310696279501151
"CSF3R","BLZ-945","Not Approved","",1.00976290837874
"CSF3R","AZD1480","Not Approved","",0.50488145418937
"CSF3R","GLYCOPEG-GCSF","Not Approved","for treatment of neutropenia",2.01952581675748
"CSF3R","PEGTEOGRASTIM","Not Approved","",2.01952581675748
"CSF3R","PEXIDARTINIB","Approved","",0.144251844054106
"CSF3R","DASATINIB ANHYDROUS","Approved","antineoplastic agent",0.10491043203935
"CSF3R","EFLAPEGRASTIM","Approved","",1.00976290837874
"CSF3R","PLX7486","Not Approved","",0.673175272252494
"CSF3R","CSL-324","Not Approved","",2.01952581675748
"CSF3R","REGRAMOSTIM","Not Approved","",2.01952581675748
"CSF3R","TOFACITINIB","Approved","",0.288503688108211
"CSF3R","LENOGRASTIM","Approved","",0.183593256068862
"CSF3R","IMATINIB","Approved","antineoplastic agent",0.0538540217801995
"CSF3R","2-TERT-BUTYL-9-FLUORO-1,6-DIHYDROBENZO[H]IMIDAZO[4,5-F]ISOQUINOLIN-7-ONE","Not Approved","",0.673175272252494
"CSF3R","LIPEGFILGRASTIM","Approved","",2.01952581675748
"CSF3R","ANTI-C-FMS MONOCLONAL ANTIBODY AMG 820","Not Approved","",1.00976290837874
"CSF3R","PLX-5622","Not Approved","",2.01952581675748
"CSF3R","TRAMETINIB DIMETHYL SULFOXIDE","Approved","antineoplastic agent",0.121171549005449
"ACVR1C","SB-431542","Not Approved","",5.83418569285494
"EGF","CETUXIMAB","Approved","antineoplastic agent",0.486182141071245
"EGF","EPIDERMAL GROWTH FACTOR","Not Approved","",8.75127853928242
"EGF","NIMOTUZUMAB","Not Approved","antineoplastic agent",8.75127853928242
"FN1","DAROMUN","Not Approved","",4.03905163351496
"FN1","ONFEKAFUSP ALFA","Not Approved","",4.03905163351496
"FN1","MU-BC-1","Not Approved","",4.03905163351496
"FN1","L19IL2","Not Approved","",8.07810326702992
"FN1","DACARBAZINE","Approved","Antineoplastic Agents",0.269270108900997
"FN1","RADRETUMAB","Not Approved","",4.03905163351496
"FN1","L19SIP 131I","Not Approved","",4.03905163351496
"FN1","OCRIPLASMIN","Approved","",0.21258166492184
"FN1","COMPOUND 28 [PMID: 16460935]","Not Approved","",4.03905163351496
"FN1","L19TNFA","Not Approved","",4.03905163351496
"FN1","AS1409","Not Approved","antineoplastic agent",1.34635054450499
"FN1","AS-1409","Not Approved","",4.03905163351496
"FN1","SUTIMLIMAB","Not Approved","",4.03905163351496
"STAT1","GUTTIFERONE K","Not Approved","",8.75127853928242
"STAT1","PICOPLATIN","Not Approved","",8.75127853928242
"STAT1","IPRIFLAVONE","Not Approved","",0.729273211606868
"STAT1","GARCINOL","Not Approved","",2.1878196348206
"STAT1","CHEMBL:CHEMBL85826","Not Approved","",0.972364282142491
"STAT1","CISPLATIN","Approved","",0.0603536450984994
"COL6A1","OCRIPLASMIN","Approved","",0.69089041099598
"COL6A1","COLLAGENASE CLOSTRIDIUM HISTOLYTICUM-AAES","Approved","for treatment of Dupuytren's contracture",0.937636986351687
"TNFRSF11A","DICLOFENAC SODIUM","Approved","for treatment of glaucoma,analgesic,NSAID",0.441240934753735
"TNFRSF11A","ZOLEDRONIC ACID ANHYDROUS","Approved","antiosteoporotic agent",1.00014611877513
"TNFRSF11A","RISPERIDONE","Approved","antipsychotic agent,Antipsychotic Agents",0.223913310173537
"TNFRSF11A","DENOSUMAB","Approved","antiosteoporotic agent",2.50036529693783
"TNFRSF11A","ACETAMINOPHEN","Approved","analgesic",0.288503688108212
"TNFRSF11A","PAMIDRONATE","Approved","Bisphosphonates",1.36383561651155
"TNFRSF11A","ASPIRIN","Approved","NSAID,antithrombotic,anticoagulant",0.10639852327395
"PDGFRA","MOTESANIB","Not Approved","antineoplastic agent",0.234758589727397
"PDGFRA","IMATINIB","Approved","antineoplastic agent",0.263972992004584
