gene	drug	regulatory approval	indication	interaction score
BMP10	DALANTERCEPT	Not Approved	antiangiogenic agent,antineoplastic agent	26.25383561784724
GNG4	INOTUZUMAB OZOGAMICIN	Approved	antineoplastic agent	6.563458904461812
GNG4	MOXETUMOMAB PASUDOTOX	Approved	""	8.751278539282415
IL12RB1	DENILEUKIN DIFTITOX	Approved	antineoplastic agent	4.375639269641208
IL12RB1	AS1409	Not Approved	antineoplastic agent	8.751278539282415
CSF3R	IBRUTINIB	Approved	antineoplastic agent	0.1223955040459079
CSF3R	PEGFILGRASTIM-JMDB	Approved	Antineutropenic Agents,for treatment of neutropenia	4.039051633514961
CSF3R	TBO-FILGRASTIM	Approved	for treatment of neutropenia	4.039051633514961
CSF3R	RUXOLITINIB	Approved	antiinflammatory agent,antineoplastic agent	1.306751999078369
CSF3R	MAXY-G34	Not Approved	for treatment of chemotherapy-induced neutropenia	4.039051633514961
CSF3R	COMPOUND 1 [PMID: 16821802]	Not Approved	""	2.01952581675748
CSF3R	BALUGRASTIM	Not Approved	""	2.01952581675748
CSF3R	MOMELOTINIB	Approved	""	0.3106962795011509
CSF3R	BLZ-945	Not Approved	""	1.00976290837874
CSF3R	AZD1480	Not Approved	""	0.5048814541893701
CSF3R	GLYCOPEG-GCSF	Not Approved	for treatment of neutropenia	2.01952581675748
CSF3R	PEGTEOGRASTIM	Not Approved	""	2.01952581675748
CSF3R	PEXIDARTINIB	Approved	""	0.1442518440541057
CSF3R	DASATINIB ANHYDROUS	Approved	antineoplastic agent	0.1049104320393496
CSF3R	EFLAPEGRASTIM	Approved	""	1.00976290837874
CSF3R	PLX7486	Not Approved	""	0.6731752722524935
CSF3R	CSL-324	Not Approved	""	2.01952581675748
CSF3R	REGRAMOSTIM	Not Approved	""	2.01952581675748
CSF3R	TOFACITINIB	Approved	""	0.2885036881082115
CSF3R	LENOGRASTIM	Approved	""	0.1835932560688619
CSF3R	IMATINIB	Approved	antineoplastic agent	0.05385402178019948
CSF3R	2-TERT-BUTYL-9-FLUORO-1,6-DIHYDROBENZO[H]IMIDAZO[4,5-F]ISOQUINOLIN-7-ONE	Not Approved	""	0.6731752722524935
CSF3R	LIPEGFILGRASTIM	Approved	""	2.01952581675748
