"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000150637",6099.93505278701,-9.34833066917159,0.370772266046072,-25.2131335735073,2.87524362978926e-140,1.01846879854395e-135
"ENSG00000173114",2793.11656713076,-10.0835567808841,0.430338464446363,-23.4316883429343,2.03214759538234e-121,3.59913660618167e-117
"ENSG00000266074",10269.0797796158,9.53913094965485,0.456972515577678,20.8746273013729,9.10764245763729e-97,1.07536970378143e-92
"ENSG00000179144",370.585763115992,-8.18545140213449,0.403068557988269,-20.3078390509753,1.09622386358134e-91,9.70761042394455e-88
"ENSG00000173801",3831.5930595841,8.51048785472827,0.42842818845925,19.8644442265445,8.26619930168209e-88,5.85610623328366e-84
"ENSG00000063438",1686.61655469404,-7.89811880451654,0.408958026149775,-19.3127859083122,4.19331206981881e-83,2.47559166895203e-79
"ENSG00000008517",23393.7181995535,-11.4052240766137,0.591690851425602,-19.2756471544798,8.60177614119846e-83,4.35274449247903e-79
"ENSG00000197540",335.550011849317,-6.62157334437488,0.354433257626529,-18.6821445276225,6.91830425353854e-78,3.06325216586053e-74
"ENSG00000100453",92147.7985867971,-15.3031315394748,0.820894579139287,-18.6420180232159,1.46604408151859e-77,5.77002371728351e-74
"ENSG00000198851",8001.91329860743,-9.8877176598589,0.538222154092015,-18.3710714705521,2.23946847001829e-75,7.9326452144988e-72
"ENSG00000160654",1713.13573430779,-8.11313958135899,0.459853949805571,-17.6428615754834,1.15462923470071e-69,3.71811606832442e-66
"ENSG00000066336",1971.98148031232,11.0563123340544,0.636717106797849,17.3645598901188,1.5306906873412e-67,4.51834379391665e-64
"ENSG00000108405",2276.80703859977,7.44981268389477,0.436633645480313,17.0619299749558,2.84982238357939e-65,7.76510834393456e-62
"ENSG00000163600",1208.69771214224,-13.1917873962372,0.785437720313186,-16.7954594681003,2.63456329368066e-63,6.66582149919689e-60
"ENSG00000165474",1531.95183224353,-10.4036595973456,0.624037529249451,-16.671528729784,2.11125133736278e-62,4.98564965813762e-59
"ENSG00000172673",2096.69954703161,-12.4185956447487,0.745247569217259,-16.6637184174811,2.40590334813288e-62,5.32636927484768e-59
"ENSG00000163453",2996.41463138926,8.84656818367067,0.532386610605579,16.6168119322308,5.26594518985421e-62,1.09723712067656e-58
"ENSG00000128578",1594.57393920961,-5.24823646060976,0.317013117746199,-16.5552659079915,1.46691936232261e-61,2.88673431401064e-58
"ENSG00000198873",1088.35807815552,-5.48257119874119,0.334718228638635,-16.3796612483278,2.67227286226921e-60,4.98196049091052e-57
"ENSG00000100385",13911.7938486788,-11.0332231680527,0.687407375807752,-16.0504870275618,5.67172434881701e-58,1.00451909941898e-54
"ENSG00000178562",2268.20921207969,-10.4753118427147,0.659709523516862,-15.8786730663999,8.90421968644866e-57,1.50192985587326e-53
"ENSG00000172005",1339.60332614748,-12.158915936189,0.769319106484235,-15.8047757214232,2.88414889855353e-56,4.6437419220256e-53
"ENSG00000113263",6072.5052803193,-9.06811978917908,0.578184760789213,-15.6837751600392,1.9529392248005e-55,3.00769622699493e-52
"ENSG00000267369",297.650134423723,-8.77557305031897,0.567149321311275,-15.4731262483563,5.26850652796446e-54,7.77587659306488e-51
"ENSG00000119866",3926.09494596618,11.6679728701222,0.755748502329797,15.4389626101177,8.95286763196591e-54,1.26851390903799e-50
"ENSG00000290922",403.510080390398,-8.41283022196138,0.545393925869822,-15.4252363712048,1.10748936590167e-53,1.5088264738065e-50
"ENSG00000211778",292.048631252157,-11.8715404939565,0.773808569254909,-15.3417020250726,4.02501589695831e-53,5.28052270748361e-50
"ENSG00000168405",263.405781713844,-11.7229815808815,0.769084971754237,-15.2427651188426,1.83919068837855e-52,2.32670759156232e-49
"ENSG00000156463",539.271836916081,-7.8652582639415,0.52265463428407,-15.0486721976842,3.52233156923597e-51,4.30234582225781e-48
"ENSG00000211777",240.543151191485,-11.5914045138118,0.775292673993206,-14.9510048303557,1.5341667649861e-50,1.81144183831125e-47
"ENSG00000258875",324.324605946583,-5.38325697270583,0.361036316567394,-14.9105691745582,2.8134402215629e-50,3.21476385574842e-47
"ENSG00000163599",1225.5994294189,-11.842991889271,0.796193493962754,-14.8745147744513,4.82470356664789e-50,5.3406453043063e-47
"ENSG00000101439",1522.12860620578,9.69168564909239,0.651897802491148,14.8668788452067,5.40762411254713e-50,5.80451094892862e-47
"ENSG00000211789",237.929335937893,-11.5754968887393,0.787548044883003,-14.6981469434782,6.62478887733041e-49,6.90186092978817e-46
"ENSG00000170955",774.116153508156,-12.5420519165222,0.857164801639974,-14.6320192949198,1.75500039188048e-48,1.77616068231973e-45
"ENSG00000154165",2526.25044059169,-9.77259046157156,0.671208477963165,-14.5596946141492,5.06837104340484e-48,4.98699553054129e-45
"ENSG00000258657",234.457872655591,-11.5550243025761,0.795898631772475,-14.5182110400705,9.29033017458282e-48,8.8941101471371e-45
"ENSG00000198734",668.157230358876,-6.78319141272806,0.468213988669485,-14.487374527198,1.45602635424514e-47,1.35724646105451e-44
"ENSG00000107485",2033.03980323,-7.66138721322669,0.528903704891299,-14.4854103731439,1.49825167783393e-47,1.36079669057009e-44
"ENSG00000157657",757.288193930534,7.6394098185447,0.529343294144476,14.4318628441142,3.26151572279e-47,2.88823524831669e-44
"ENSG00000111536",251.516691093091,-11.6561686241482,0.813209149347805,-14.3335433860974,1.35050411668175e-46,1.16676967856343e-43
"ENSG00000010671",1803.2453108724,6.14926895027324,0.432633019314609,14.2135913713084,7.54544747666114e-46,6.36368667900693e-43
"ENSG00000117560",539.200730119676,-10.241346065245,0.720991047920933,-14.2045398410663,8.58648152390831e-46,7.0732639195321e-43
"ENSG00000136158",1334.93755452019,11.1888068611014,0.799121651798596,14.0013811863545,1.52870601012126e-44,1.23067782478444e-41
"ENSG00000196421",1047.57546755968,-6.09181761238262,0.435883222831628,-13.9758019884508,2.19032280435332e-44,1.72412476390674e-41
"ENSG00000128815",2515.54204407683,11.6672549460348,0.839413553380226,13.8992930231493,6.39700928432811e-44,4.92597527977109e-41
"ENSG00000256553",186.570512370597,-10.8509917120131,0.784669421963861,-13.8287429180754,1.7098241367614e-43,1.28862533132686e-40
"ENSG00000211706",135.946928817575,-10.7684852824557,0.779259461128156,-13.8188701191589,1.96124031170541e-43,1.44731363169227e-40
"ENSG00000198429",201.111628025653,6.22916840270473,0.451650872282498,13.7919990527739,2.84758235592784e-43,2.05851147370767e-40
"ENSG00000166532",1216.37169089405,6.24570938465053,0.453354450133971,13.7766583802251,3.52201299808074e-43,2.49513488836032e-40
"ENSG00000114405",249.6843196095,-9.83239677998544,0.715189828746313,-13.7479538785123,5.23903389349635e-43,3.63876585442015e-40
"ENSG00000125148",5301.4404855867,-4.89711165356571,0.357743195182204,-13.6889023174054,1.18282611228767e-42,8.05732049027959e-40
"ENSG00000134193",181.264995780206,-10.8155316034493,0.792389101255915,-13.6492685049643,2.03915160012981e-42,1.36284581093959e-39
"ENSG00000140564",27721.6120439147,-4.14531042767811,0.304664335832004,-13.606155825091,3.68102575129653e-42,2.41461655856344e-39
"ENSG00000267074",135.304180130656,-10.7606471923301,0.791298573680612,-13.5987193080338,4.07506687652514e-42,2.62449125273224e-39
"ENSG00000225783",5624.63199779977,-7.5264606074598,0.555025228536032,-13.5605738631234,6.85973057063214e-42,4.33902457630235e-39
"ENSG00000211786",202.609575838827,-11.3436307543465,0.836758338186008,-13.5566390398189,7.23771841043628e-42,4.49779757078025e-39
"ENSG00000111537",3144.3294447688,-11.0799089556618,0.818741332820043,-13.5328564853305,1.00058701225319e-41,6.00725307593771e-39
"ENSG00000211745",138.122962993373,-10.7918444389576,0.79739767866204,-13.5338297661781,9.87423694903827e-42,6.00725307593771e-39
"ENSG00000211792",166.398908692256,-10.6863934606365,0.791025483739141,-13.5095438520165,1.37369942474423e-41,8.10986350388168e-39
"ENSG00000211734",108.331494185576,-10.4410499629949,0.773905355056264,-13.4913783640066,1.75783167275358e-41,1.02075268052914e-38
"ENSG00000211776",96.7997338539896,-10.277848028077,0.766318385841964,-13.4119815183406,5.14456535107601e-41,2.93920635267442e-38
"ENSG00000211797",154.114896437461,-10.948745022221,0.817419665560954,-13.3942765063126,6.53093484342996e-41,3.67204403212661e-38
"ENSG00000211746",177.234270460716,-11.1504589750017,0.835529617372707,-13.3453784798963,1.26028855112331e-40,6.97530329029529e-38
"ENSG00000167566",644.54619774709,4.3944910886128,0.330261468376262,13.3060968638528,2.13339096047491e-40,1.16259960926065e-37
"ENSG00000135363",2541.32943894616,14.5016700778148,1.09888510306683,13.1967118649098,9.16489808239458e-40,4.91877302840274e-37
"ENSG00000205045",4892.49588559146,-6.0066875962334,0.455994206777102,-13.1727278701362,1.25962825907164e-39,6.65948540191575e-37
"ENSG00000170379",1095.46857505864,-4.52944859627999,0.345968286897295,-13.0920918703297,3.65403729458903e-39,1.90343101542548e-36
"ENSG00000113269",2823.4442300895,6.20074611001556,0.474058711945651,13.080122680514,4.27749275001524e-39,2.19590359697159e-36
"ENSG00000095932",1219.02814316734,7.22666628008752,0.553656140827336,13.0526255326792,6.1394521637879e-39,3.10673820779564e-36
"ENSG00000181218",165.455622968444,-7.12181520781744,0.54573355475718,-13.0499859239666,6.3559144898156e-39,3.17097469096124e-36
"ENSG00000217825",461.800416954424,-11.8040923484328,0.905568922467863,-13.0350015946486,7.73654012206501e-39,3.80616283616371e-36
"ENSG00000134986",2617.43208486148,3.7064837420819,0.284707253726962,13.0185785348359,9.59402590427043e-39,4.65533678878174e-36
"ENSG00000011590",1380.77920670758,-6.9122292293708,0.532316136692965,-12.9851957378435,1.48458146380242e-38,7.10633035281207e-36
"ENSG00000110448",3966.76019610096,-9.08621051828888,0.701689595720125,-12.9490455234183,2.37893451549918e-38,1.12355491210683e-35
"ENSG00000211794",108.622184926242,-10.06937866614,0.778077198138704,-12.9413619756853,2.62926531311338e-38,1.22544520948819e-35
"ENSG00000171956",379.241744002277,-10.8550939312946,0.842246381738437,-12.8882642498139,5.24101492927641e-38,2.41100299772505e-35
"ENSG00000100351",2337.69965661361,-7.75079636699415,0.601629485707452,-12.8830061543278,5.61068241049418e-38,2.54796913262211e-35
"ENSG00000235576",294.732131294664,-11.0293396762831,0.859024564695216,-12.8393763456535,9.86660874070977e-38,4.42398752928381e-35
"ENSG00000211788",160.323722422007,-11.005987547378,0.860756098650545,-12.7864183183049,1.95267685754618e-37,8.6459649560001e-35
"ENSG00000048052",761.451714587838,7.48350739216409,0.586848059852865,12.7520356700853,3.03709534380222e-37,1.32814804034768e-34
"ENSG00000254087",2574.44142620109,4.65407618690239,0.365007851153606,12.7506193967971,3.09278100240012e-37,1.33600595935387e-34
"ENSG00000114737",5141.98307394242,-5.94841876294812,0.466752803062208,-12.7442593251129,3.35562581295442e-37,1.43208406682496e-34
"ENSG00000291149",679.666912801461,-4.1317143406179,0.324955528892837,-12.7147070083563,4.89942455477426e-37,2.06604067356207e-34
"ENSG00000211716",216.001704449048,-10.3066790758208,0.814268914709547,-12.6575863202358,1.01574508138019e-36,4.23290850266459e-34
"ENSG00000283063",80.1216942666995,-10.0061013410349,0.793463852771032,-12.6106580735725,1.8444642926708e-36,7.59704815988198e-34
"ENSG00000176533",1085.36556998302,9.94417813076239,0.791560167597326,12.562757119205,3.38333961340358e-36,1.36187108847706e-33
"ENSG00000290933",243.575275371982,-4.20921793556773,0.335037936290528,-12.5634069448115,3.35565966038954e-36,1.36187108847706e-33
"ENSG00000171724",1361.79700154932,27.8955548881336,2.22065646332524,12.5618506729143,3.42232996714321e-36,1.362087326923e-33
"ENSG00000233093",239.387283932697,-8.77405314522667,0.701120063766652,-12.5143375559523,6.23256700426583e-36,2.45299987139005e-33
"ENSG00000008516",1391.44857597035,-5.80175227157076,0.463847269440809,-12.5078935541974,6.75929516868141e-36,2.63107421390146e-33
"ENSG00000071127",19244.8655318991,-2.07371118624403,0.165981059990965,-12.4936615440154,8.08454470283952e-36,3.11272546156502e-33
"ENSG00000112378",789.873938559619,-4.43261582728063,0.356599614225264,-12.4302316953168,1.79114455711086e-35,6.82214220451408e-33
