"indication","Count"
"",1757
"Anabolic Agents; Antineoplastic Agents",1
"Anti-Allergic Agents",1
"Anti-Allergic Agents; Appetite Stimulant",1
"Anti-Arrhythmia Agents; Antihypertensive Agents",3
"Anti-Inflammatory Agents; Glucocorticoids",3
"Anti-anxiety Agents",1
"Anticoagulants",1
"Anticoagulants,anticoagulant",1
"Anticonvulsants,for treatment of basal cell carcinoma,anticonvulsant",1
"Anticonvulsants; Hypnotics and Sedatives",1
"Anticonvulsants; anti-migraine agents,antimigraine agent,anticonvulsant",1
"Antidiuretic Agents,analgesic",1
"Antidysmennorheal Agents",1
"Antiemetics; Antipsychotic Agents",1
"Antifibrinolytic Agents",1
"Antihypertensive Agents; Antipsychotic Agents",1
"Antihypertensive Agents; Diuretics",6
"Antihypoglycemic Agents",1
"Antilipemic Agents",1
"Antineoplastic Agents",9
"Antineoplastic Agents,antineoplastic agent",1
"Antineoplastic Agents; Immunomodulatory Agents,for treatment of hepatitis B and C,for treatment of hepatitis,for treatment of hepatitis C",3
"Antineutropenic Agents,for treatment of neutropenia",1
"Antiparkinson Agents",1
"Antipsychotic Agents",5
"Antithyroid Agents",5
"Bisphosphonates",4
"Bisphosphonates,antiosteoporotic agent",1
"Bronchodilator Agents; Cardiotonic Agents",1
"Cardiotonic Agents; Phosphodiesterase Inhibitors",1
"Cardiotonic Agents; Vasodilator Agents",1
"Catecholamine synthesis inhibitors",2
"Central Nervous System Stimulants",3
"DMARD",6
"DMARD,antiinflammatory agent",35
"DMARD,antiinflammatory agent,Antipsoriatic Agents",6
"Dermatologic Agents",1
"Diagnostic Agents",3
"HIV,antiviral agent",4
"Hormonal,Antineoplastic Agents",2
"Hormonal; Contraceptives,Antineoplastic Agents",1
"Hormone Replacement Agents",6
"Hypnotics and Sedatives",4
"Hypnotics and Sedatives; Anti-anxiety agents; Anti-allergic Agents",1
"Immunosuppressive Agents",1
"Keratolytic Agents",1
"NSAID",6
"NSAID,antiinflammatory agent",1
"NSAID,antithrombotic,anticoagulant",8
"Opioid; Antitussive Agents,Analgesics",2
"Platelet Aggregation Inhibitors",3
"Proton pump inhibitor",3
"Proton pump inhibitor,antiulcer agent",1
"Thrombolytic agent",6
"Tricyclic,Antidepressive Agents",7
"adjuvant to anesthesia,opioid,analgesic",1
"adjuvant to chemotherapy",1
"analgesic",14
"antiallergy agent",2
"antiangiogenic agent,antineoplastic agent",1
"antiasthmatic agent",3
"antiasthmatic agent,DMARD,antiinflammatory agent",1
"antiasthmatic agent,antiinflammatory agent",1
"antiatherosclerotic agent,antithrombotic",1
"anticholesterolaemic agent",1
"anticholesterolaemic agent,antidyslipidaemic agent",1
"anticholesterolaemic agent,antihypecholesterolemic agent",6
"anticoagulant",3
"antidepressant",2
"antidepressant,Second-Generation,Antidepressive Agents",1
"antidepressant,antiasthmatic agent",3
"antidepressant,antipsychotic,for lowering intraocular pressure,opthalmological agent",2
"antidiabetic",14
"antidiabetic,Hypoglycemic Agents",1
