Run,AGE,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue
SRR29752624,missing,RNA-Seq,300,13748840700,Xiaoming Feng,PRJNA1132480,SAMN42342134,Human,5679475179,"INSTITUTE OF HEMATOLOGY & BLOOD DISEASES HOSPITAL,   CHINESE ACADEMY OF MEDICAL SCIENCES",2019-05-01,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX25253593,China,Asia,China,Illumina NovaSeq 6000,"E004 RNAseq were collected from patients with written informed consents\, and cells were sorted on FACSAria II Cell Sorter (BD Biosciences).",D4,PAIRED,PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-09T00:00:00Z,2024-07-09T13:21:00Z,1,E004 RNAseq,male,SRP518774,human peripheral blood
SRR29752625,missing,RNA-Seq,300,14811734400,Xiaoming Feng,PRJNA1132480,SAMN42342133,Human,6102198217,"INSTITUTE OF HEMATOLOGY & BLOOD DISEASES HOSPITAL,   CHINESE ACADEMY OF MEDICAL SCIENCES",2019-05-01,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX25253592,China,Asia,China,Illumina NovaSeq 6000,"E003 RNAseq were collected from patients with written informed consents\, and cells were sorted on FACSAria II Cell Sorter (BD Biosciences).",D3,PAIRED,PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-09T00:00:00Z,2024-07-09T13:24:00Z,1,E003 RNAseq,male,SRP518774,human peripheral blood
SRR29752626,missing,RNA-Seq,300,14890089300,Xiaoming Feng,PRJNA1132480,SAMN42342132,Human,6050269846,"INSTITUTE OF HEMATOLOGY & BLOOD DISEASES HOSPITAL,   CHINESE ACADEMY OF MEDICAL SCIENCES",2019-05-01,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX25253591,China,Asia,China,Illumina NovaSeq 6000,"E002 RNAseq were collected from patients with written informed consents\, and cells were sorted on FACSAria II Cell Sorter (BD Biosciences).",D2,PAIRED,PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-09T00:00:00Z,2024-07-09T13:21:00Z,1,E002 RNAseq,male,SRP518774,human peripheral blood
SRR29752627,missing,RNA-Seq,300,15388549800,Xiaoming Feng,PRJNA1132480,SAMN42342131,Human,6384656803,"INSTITUTE OF HEMATOLOGY & BLOOD DISEASES HOSPITAL,   CHINESE ACADEMY OF MEDICAL SCIENCES",2019-05-01,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX25253590,China,Asia,China,Illumina NovaSeq 6000,"E001 RNAseq were collected from patients with written informed consents\, and cells were sorted on FACSAria II Cell Sorter (BD Biosciences).",D1,PAIRED,PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-09T00:00:00Z,2024-07-09T13:20:00Z,1,E001 RNAseq,female,SRP518774,human peripheral blood
SRR29752628,missing,RNA-Seq,300,11004029400,Xiaoming Feng,PRJNA1132480,SAMN42342130,Human,3645247884,"INSTITUTE OF HEMATOLOGY & BLOOD DISEASES HOSPITAL,   CHINESE ACADEMY OF MEDICAL SCIENCES",2023-11-10,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX25253589,China,Asia,China,Illumina NovaSeq 6000,"E006RNAseq6 were collected from health donor with written informed consents\, and cells were sorted on FACSAria II Cell Sorter (BD Biosciences).",D12,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-09T00:00:00Z,2024-07-09T13:17:00Z,1,E006RNAseq6,missing,SRP518774,human peripheral blood
SRR29752629,missing,RNA-Seq,300,11309092800,Xiaoming Feng,PRJNA1132480,SAMN42342129,Human,3712419059,"INSTITUTE OF HEMATOLOGY & BLOOD DISEASES HOSPITAL,   CHINESE ACADEMY OF MEDICAL SCIENCES",2023-11-10,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX25253588,China,Asia,China,Illumina NovaSeq 6000,"E005RNAseq5 were collected from health donor with written informed consents\, and cells were sorted on FACSAria II Cell Sorter (BD Biosciences).",D11,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-09T00:00:00Z,2024-07-09T13:15:00Z,1,E005RNAseq5,missing,SRP518774,human peripheral blood
SRR29752630,missing,RNA-Seq,300,11391832500,Xiaoming Feng,PRJNA1132480,SAMN42342128,Human,3557272673,"INSTITUTE OF HEMATOLOGY & BLOOD DISEASES HOSPITAL,   CHINESE ACADEMY OF MEDICAL SCIENCES",2020-02-20,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX25253587,China,Asia,China,Illumina NovaSeq 6000,"E004RNAseq4 were collected from patients with written informed consents\, and cells were sorted on FACSAria II Cell Sorter (BD Biosciences).",D10,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-09T00:00:00Z,2024-07-09T13:17:00Z,1,E004RNAseq4,missing,SRP518774,human peripheral blood
SRR29752631,missing,RNA-Seq,300,11600716500,Xiaoming Feng,PRJNA1132480,SAMN42342127,Human,3597908176,"INSTITUTE OF HEMATOLOGY & BLOOD DISEASES HOSPITAL,   CHINESE ACADEMY OF MEDICAL SCIENCES",2019-08-10,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX25253586,China,Asia,China,Illumina NovaSeq 6000,"E003RNAseq3 were collected from patients with written informed consents\, and cells were sorted on FACSAria II Cell Sorter (BD Biosciences).",D9,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-09T00:00:00Z,2024-07-09T13:13:00Z,1,E003RNAseq3,missing,SRP518774,human peripheral blood
SRR29752632,missing,RNA-Seq,300,11023350300,Xiaoming Feng,PRJNA1132480,SAMN42342141,Human,3578550845,"INSTITUTE OF HEMATOLOGY & BLOOD DISEASES HOSPITAL,   CHINESE ACADEMY OF MEDICAL SCIENCES",2022-10-22,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX25253585,China,Asia,China,Illumina NovaSeq 6000,"HD2 FL33RNAseq were collected from health donor with written informed consents\, and cells were sorted on FACSAria II Cell Sorter (BD Biosciences).",D6-3,PAIRED,PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-09T00:00:00Z,2024-07-09T13:19:00Z,1,HD2   FL33RNAseq,missing,SRP518774,human peripheral blood
SRR29752633,missing,RNA-Seq,300,11228139000,Xiaoming Feng,PRJNA1132480,SAMN42342140,Human,3721052676,"INSTITUTE OF HEMATOLOGY & BLOOD DISEASES HOSPITAL,   CHINESE ACADEMY OF MEDICAL SCIENCES",2022-10-22,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX25253584,China,Asia,China,Illumina NovaSeq 6000,"HD2 CD33RNAseq were collected from health donor with written informed consents\, and cells were sorted on FACSAria II Cell Sorter (BD Biosciences).",D6-2,PAIRED,PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-09T00:00:00Z,2024-07-09T13:16:00Z,1,HD2   CD33RNAseq,missing,SRP518774,human peripheral blood
SRR29752634,missing,RNA-Seq,300,11539979400,Xiaoming Feng,PRJNA1132480,SAMN42342139,Human,3790559533,"INSTITUTE OF HEMATOLOGY & BLOOD DISEASES HOSPITAL,   CHINESE ACADEMY OF MEDICAL SCIENCES",2022-10-22,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX25253583,China,Asia,China,Illumina NovaSeq 6000,"HD2 N6RNAseq were collected from health donor with written informed consents\, and cells were sorted on FACSAria II Cell Sorter (BD Biosciences).",D6-1,PAIRED,PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-09T00:00:00Z,2024-07-09T13:13:00Z,1,HD2   N6RNAseq,missing,SRP518774,human peripheral blood
SRR29752635,missing,RNA-Seq,300,11445843300,Xiaoming Feng,PRJNA1132480,SAMN42342138,Human,3773732079,"INSTITUTE OF HEMATOLOGY & BLOOD DISEASES HOSPITAL,   CHINESE ACADEMY OF MEDICAL SCIENCES",2023-01-12,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX25253582,China,Asia,China,Illumina NovaSeq 6000,"HD1 FL33RNAseq were collected from health donor with written informed consents\, and cells were sorted on FACSAria II Cell Sorter (BD Biosciences).",D5-4,PAIRED,PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-09T00:00:00Z,2024-07-09T13:18:00Z,1,HD1   FL33RNAseq,missing,SRP518774,human peripheral blood
SRR29752636,missing,RNA-Seq,300,11526309900,Xiaoming Feng,PRJNA1132480,SAMN42342137,Human,3801323048,"INSTITUTE OF HEMATOLOGY & BLOOD DISEASES HOSPITAL,   CHINESE ACADEMY OF MEDICAL SCIENCES",2023-01-12,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX25253581,China,Asia,China,Illumina NovaSeq 6000,"HD1 CD33RNAseq were collected from health donor with written informed consents\, and cells were sorted on FACSAria II Cell Sorter (BD Biosciences).",D5-3,PAIRED,PCR,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-09T00:00:00Z,2024-07-09T13:22:00Z,1,HD1   CD33RNAseq,missing,SRP518774,human peripheral blood
