UniqueCount	AmbigCount
0	0
0	1
0	0
0	0
0	4
0	0
0	0
0	4
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	4
0	1
0	0
0	0
0	1
0	0
0	0
0	1
0	97
0	0
0	545
0	2175
0	1424
0	2114
0	1697
0	2030
0	2328
0	2122
0	1753
0	1745
0	1238
0	1242
0	2025
0	2226
0	1141
0	2361
0	2415
0	1884
0	232
0	1427
0	962
0	1415
0	1503
0	455
0	1532
0	1873
0	1757
0	627
0	864
0	1321
0	1558
0	622
0	1386
0	2129
0	2160
0	1780
0	1717
0	1447
0	420
0	2019
0	2127
0	1725
0	1731
0	961
0	2076
0	2079
0	2710
0	885
0	1663
0	790
0	246
0	1322
0	1707
0	1184
0	558
0	794
0	1166
0	1800
0	1092
0	1789
0	871
0	1851
0	1732
0	262
0	993
0	2029
0	952
0	228
0	1147
0	1027
0	678
0	2072
0	1915
0	2119
0	1534
0	2073
0	1598
0	1094
0	2110
0	2203
0	1221
0	223
0	617
0	1562
0	2366
0	1188
0	1760
0	2113
0	1863
0	1566
0	2080
0	1363
0	944
0	1823
0	1660
0	502
0	1556
0	261
0	343
0	1009
2	1104
0	1998
0	1467
0	541
0	263
1	204
0	2102
0	1630
0	497
0	996
0	408
0	230
0	443
0	1464
0	1246
0	1410
0	1999
0	629
0	1958
0	484
0	1086
0	2084
0	831
0	840
0	1203
0	2390
0	996
0	1470
0	1913
0	783
0	2076
0	1245
0	1868
0	2121
0	1409
0	1824
0	2062
0	2175
0	1481
0	823
0	1111
0	1302
0	300
0	753
0	160
0	443
0	1092
0	720
0	441
0	546
0	1657
0	317
0	487
0	1241
0	291
0	377
0	891
0	144
0	643
0	636
0	147
0	538
0	544
0	342
0	1319
0	176
0	1178
0	1431
0	979
0	1129
0	147
0	587
0	176
0	799
0	730
0	1331
0	1301
0	341
0	1282
0	1150
0	320
0	338
0	62
0	134
0	485
0	1089
0	463
0	327
0	755
0	267
0	272
0	209
0	998
0	309
0	693
0	787
0	749
0	456
0	1334
0	561
0	443
0	250
0	688
0	455
0	796
0	256
0	357
0	181
0	994
0	412
0	468
0	272
0	68
0	1330
1	185
0	1377
0	1098
0	942
0	603
0	184
0	991
0	400
0	1236
0	971
0	220
0	436
0	793
0	570
0	272
0	661
0	198
0	975
0	1227
0	349
0	286
0	1230
0	289
7	84
0	62
0	188
0	1084
0	863
0	794
0	421
0	1212
0	245
2	295
0	990
0	412
0	454
0	663
0	496
0	325
0	834
0	787
0	283
1	189
0	527
0	920
0	497
0	286
0	612
0	360
0	1083
0	641
0	212
0	318
0	554
0	297
0	43
0	35
0	69
2	512
0	51
1	277
0	53
0	18
0	14
0	32
0	28
0	18
0	261
0	19
0	28
1	267
0	1501
0	0
0	12
10	6
0	16
0	3
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	1
0	0
0	0
1	1
8	36
1	13
0	13
0	18
0	0
0	16
1	11
0	16
0	15
0	10
4	18
0	15
0	9
0	20
0	18
0	18
0	2
0	8
0	0
238	5
0	5
0	10
0	7
0	19
0	23
0	10
0	16
1	20
0	10
0	16
0	5
0	30
0	29
0	13
0	13
0	13
0	13
0	4
0	4
0	4
0	8
0	4
0	8
0	4
0	2
0	1
0	1
0	14
0	1
0	1
0	1
0	14
0	0
0	0
0	0
0	0
0	21
0	0
0	2
0	0
13	148
0	35
0	102
0	1
0	5
0	78
0	0
0	0
0	0
0	0
0	3
0	0
0	3
0	0
0	3
0	0
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	8
0	0
0	3
0	0
0	8
0	0
0	3
0	3
0	3
0	0
0	0
0	3
0	0
0	0
0	0
0	1
0	3
0	4
0	0
0	3
0	0
0	3
0	0
0	0
0	3
0	3
0	8
5	8
0	2329
0	1784
0	602
0	1672
0	2582
0	1794
0	1752
0	1452
0	884
0	2389
0	1477
0	1693
0	2096
0	2141
0	1500
0	1883
0	2652
0	2714
1	2007
0	2477
0	1221
0	2371
0	2141
0	2087
0	2099
0	892
0	2394
0	2423
0	1379
0	2613
0	2230
0	967
0	1151
0	2193
0	1882
0	2457
0	2161
0	2083
0	992
0	501
0	2207
0	2199
0	979
0	1337
0	1702
0	2147
0	737
0	1240
0	2522
0	1811
0	1664
0	2149
0	2248
0	2084
0	2082
0	953
0	1916
0	1717
