"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000362032.6",505.446466026481,-27.1463051095093,2.24098389263268,-12.113565473966,8.95166152612084e-34,9.13901980186255e-29
"ENST00000265074.13",571.493811209533,-26.7806326707281,2.46846434429453,-10.8491065437617,2.01384210640083e-27,1.0279959108439e-22
"ENST00000223215.10",334.716042247187,-26.5770881403805,2.509541983736,-10.5904138335294,3.30129124252098e-26,9.3032423704538e-22
"ENST00000487035.1",318.993770206834,26.5690270773924,2.51097992118299,10.581138802924,3.6450069526623e-26,9.3032423704538e-22
"ENST00000619449.4",509.344455299057,-27.1411092761778,2.77921776405802,-9.76573682968558,1.57959559757365e-22,3.22531306686174e-18
"ENST00000476935.6",194.973806983542,-25.8404319287822,2.66487616286181,-9.69667269680259,3.11491152514763e-22,5.30017770561496e-18
"ENST00000487848.6",151.768942078468,-23.8139007244782,2.46314329270213,-9.66809393307921,4.11979361734533e-22,6.0086012825091e-18
"ENST00000550763.1",134.67609951522,-25.329879867698,2.64968687547979,-9.55957479432786,1.18241494921661e-21,1.37549829569529e-17
"ENST00000697896.1",77.4524194019229,-24.5835323660705,2.57231499985233,-9.556968088077,1.21256938881781e-21,1.37549829569529e-17
"ENST00000612142.2",182.169145480636,-25.7409726406577,2.71016877501711,-9.49792237219437,2.14119538145813e-21,2.07705264650938e-17
"ENST00000313485.10",223.715043235348,-26.0289424498802,2.74181675835759,-9.49331948261637,2.23791828152794e-21,2.07705264650938e-17
"ENST00000742699.1",87.6229997745695,-24.4023171001966,2.57342028236723,-9.48244531505341,2.48392724681742e-21,2.11326320341109e-17
"ENST00000684370.1",61.0406112354856,-24.2499636421947,2.56322000219492,-9.46074219982256,3.05765079549089e-21,2.40126725126193e-17
"ENST00000485286.6",122.025219207109,-24.786293181202,2.63849109188905,-9.39411668184029,5.76999226710367e-21,4.05747975622044e-17
"ENST00000631589.1",105.439648102133,-24.5329398003937,2.61247762336784,-9.3906793998746,5.96144655787435e-21,4.05747975622044e-17
"ENST00000343218.10",206.094935974494,-25.9089587287368,2.77366523104445,-9.34105473102843,9.53791817590489e-21,6.07948491716741e-17
"ENST00000211076.5",99.3887829322403,-24.9226983315007,2.66988463043373,-9.33474729484919,1.01232448445874e-20,6.07948491716741e-17
"ENST00000617070.5",125.656798773422,-24.7574469981116,2.66208417554066,-9.30002410351412,1.40413849660314e-20,7.96403952965025e-17
"ENST00000686075.1",61.6556192265308,-24.2738402504936,2.61241465537244,-9.29172564568734,1.51806806386544e-20,8.15705909706391e-17
